,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1435,CHEMBL3125722,13600.0,nM,COc1ccc(-c2nc3c(NCCCNC(=O)C4CCCC4)c(-c4nc(C(=O)O)cs4)cnc3[nH]2)cc1,4.866461092,520.189274376,8,4,4.563600000000003,True
1436,CHEMBL478487,13600.0,nM,Cc1ccc(CN/C=C2\C(=O)NC(=O)c3ccc(I)cc32)cc1O,4.866461092,434.01274034,4,3,2.705920000000001,True
1437,CHEMBL3421971,13713.0,nM,COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3c(C)nccc23)n1,4.862867524,443.2433585480001,8,1,3.8427200000000026,True
1438,CHEMBL550712,14000.0,nM,Nc1nc(O)c(Cc2nn3c(Cc4ccccc4)nnc3s2)s1,4.853871964,344.051401004,9,2,2.1117,True
1439,CHEMBL2062581,14000.0,nM,CC(=O)Nc1ccc2[nH]cc(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,4.853871964,371.14945816400007,6,3,3.281980000000001,True
1440,CHEMBL3654242,14000.0,nM,CN(C)C(=O)c1cc2cnc(Nc3ccc(CN4CC(O)C4)cn3)nc2n1C1CCCC1,4.853871964,435.2382731680001,8,2,2.563300000000001,True
1441,CHEMBL3421964,14060.0,nM,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1cc(-c2c[nH]c3cnccc23)ncn1,4.852014679,443.2069730400001,7,2,3.4406000000000008,True
1442,CHEMBL3421965,14789.0,nM,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1cc(-c2cn(C)c3cnccc23)ncn1,4.830061191,457.2226231040001,8,1,3.4510000000000014,True
1443,CHEMBL570313,15000.0,nM,NNc1nn2c(COc3ccc(Cl)cc3)nnc2s1,4.823908741,296.024707588,8,2,1.7037999999999998,True
1444,CHEMBL556836,15000.0,nM,c1ccc(Cc2nnc3sc(SSc4nn5c(Cc6ccccc6)nnc5s4)nn23)cc1,4.823908741,494.0224264480001,12,0,4.666000000000003,True
1445,CHEMBL223147,15000.0,nM,CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c(C)n[nH]c1-4,4.823908741,348.195011388,2,2,3.999220000000002,True
1446,CHEMBL603073,15000.0,nM,O=C1Nc2cc3ccccc3c3c4c(cc1c23)OCO4,4.823908741,263.05824314800003,3,1,3.2874000000000017,True
1447,CHEMBL601026,15000.0,nM,O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(O)cccc13)OCO2,4.823908741,327.037901628,6,2,3.0337000000000014,True
1449,CHEMBL100664,15000.0,nM,COc1ccccc1Nc1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1,4.823908741,409.211389724,8,3,3.2737000000000007,True
1450,CHEMBL478488,15100.0,nM,O=C1NC(=O)c2ccc(I)cc2/C1=C/NCc1ccc(-c2ccccc2)c(O)c1,4.821023053,496.028390404,4,3,4.064500000000002,True
1451,CHEMBL1809196,16000.0,nM,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(C(F)(F)F)c(-c2cnc3ccccn23)n1,4.795880017,511.19435766800007,8,1,4.230800000000002,True
1452,CHEMBL561985,16000.0,nM,Cc1nnc2sc(SCc3ccccc3)nn12,4.795880017,262.03468832,6,0,2.7865200000000003,True
1453,CHEMBL493940,16000.0,nM,CNc1nc2oc(-c3ccccc3)nc2c2c1ncn2C,4.795880017,279.112010036,6,1,2.818200000000001,True
1454,CHEMBL4106830,16460.0,nM,CC(C)[C@H]1CNC(=O)c2cc3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n21,4.783570169,406.2229574520001,8,3,1.9199999999999997,True
1455,CHEMBL606426,16500.0,nM,COc1cccc2c1c(Cl)c([N+](=O)[O-])c1c(C(=O)O)cc(O)c(O)c12,4.782516056,363.0145793399999,6,3,3.672600000000001,True
1456,CHEMBL2334966,16500.0,nM,N#Cc1ccc2ccn(-c3ccnc(N)n3)c2c1,4.782516056,235.08579528799999,5,1,1.8743799999999993,True
1457,CHEMBL3980145,16500.0,nM,CC1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCC3)CNC5=O)nc2)CC(C)N1CCC(C)(C)C,4.782516056,530.348157964,8,2,4.917800000000004,True
1458,CHEMBL3421975,16884.0,nM,CS(=O)(=O)c1ccc(-c2nccc(-c3c[nH]c4cnccc34)n2)cc1,4.772524657,350.083746688,5,1,3.0904000000000007,True
1459,CHEMBL489030,16900.0,nM,COc1coc(CN/C=C2\C(=O)NC(=O)c3ccc(Br)cc32)cc1=O,4.772113295,404.000783616,6,2,1.8116,True
1460,CHEMBL447758,16900.0,nM,O=C1NC(=O)c2ccccc2/C1=C/NCc1cccc(O)c1,4.772113295,294.10044230799997,4,3,1.7928999999999997,True
1461,CHEMBL3218001,17000.0,nM,C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)Nc5ccccc5N)c4)cc23)c1,4.769551079,534.1474095640001,8,3,4.627300000000003,True
1462,CHEMBL2348172,17000.0,nM,Nc1nccc(-n2ccc3ccc(C(F)(F)F)cc32)n1,4.769551079,278.077930948,4,1,3.0215000000000005,True
1463,CHEMBL269881,17000.0,nM,Nc1nc(OCC2CCCCC2)c2nc[nH]c2n1,4.769551079,247.14331016399998,5,2,1.8941999999999999,True
1464,CHEMBL606245,17000.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC[C@@H](N)C2)ccc2[nH]ccc12,4.769551079,400.23754489600003,5,3,4.313000000000002,True
1465,CHEMBL489627,17300.0,nM,O=C1NC(=O)c2ccccc2/C1=C/NCc1ccc(O)cc1,4.761953897,294.100442308,4,3,1.7928999999999997,True
1466,CHEMBL3421970,17368.0,nM,COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2c[nH]c3c(C)nccc23)n1,4.76025019,429.2277084840001,7,2,3.832320000000002,True
1467,CHEMBL445162,17600.0,nM,CS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)c1,4.754487332,418.05025364,8,2,3.7494000000000014,True
1468,CHEMBL600387,18000.0,nM,O=C(O)c1cc(O)c(O)c2c1c([N+](=O)[O-])c(Cl)c1ccccc12,4.744727495,333.004014656,5,3,3.6640000000000024,True
1469,CHEMBL430854,18000.0,nM,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccc(Cl)cc3)n2)cc1,4.744727495,413.161852688,7,3,3.9185000000000016,True
1470,CHEMBL264406,18000.0,nM,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,4.744727495,317.16404560800004,5,1,3.9837000000000025,True
1471,CHEMBL5285499,18200.0,nM,CCCc1cc(N[C@@H]2CC[C@@H](N)C2)n2nccc2n1,4.739928612,259.179695672,5,2,1.9734999999999996,True
1472,CHEMBL489646,18300.0,nM,COc1ccc(CN/C=C2\C(=O)NC(=O)c3ccc(-c4ccsc4)cc32)cc1O,4.73754891,406.098728056,6,3,3.5300000000000025,True
1473,CHEMBL3134612,18782.0,nM,COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,4.726258164,371.10366911599994,6,1,4.566400000000004,True
1474,CHEMBL100945,19000.0,nM,C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,4.721246399,485.13853040000004,7,2,4.599600000000004,True
